Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Time@Edge(1)
,,,2023-05-18 20:33:31.983,4.8702E-08
,,,2023-05-18 20:33:32.620,4.9844E-08
,,,2023-05-18 20:33:33.262,4.9478E-08
,,,2023-05-18 20:33:33.903,5.1207E-08
,,,2023-05-18 20:33:34.540,4.872E-08
,,,2023-05-18 20:33:35.176,5.0536E-08
,,,2023-05-18 20:33:35.805,5.0811E-08
,,,2023-05-18 20:33:36.435,4.8228E-08
,,,2023-05-18 20:33:37.068,4.8408E-08
,,,2023-05-18 20:33:37.700,5.0693E-08
,,,2023-05-18 20:33:38.342,5.053E-08
,,,2023-05-18 20:33:38.979,5.2133E-08
,,,2023-05-18 20:33:39.616,4.8768E-08
,,,2023-05-18 20:33:40.257,5.0605E-08
,,,2023-05-18 20:33:40.899,4.9822E-08
,,,2023-05-18 20:33:41.534,5.0558E-08
,,,2023-05-18 20:33:42.174,4.96E-08
,,,2023-05-18 20:33:42.815,4.8572E-08
,,,2023-05-18 20:33:43.453,4.9361E-08
,,,2023-05-18 20:33:44.094,4.9613E-08
,,,2023-05-18 20:33:44.732,4.9768E-08
,,,2023-05-18 20:33:45.368,4.9461E-08
,,,2023-05-18 20:33:46.007,5E-08
,,,2023-05-18 20:33:46.649,5.0797E-08
,,,2023-05-18 20:33:47.285,4.9583E-08
,,,2023-05-18 20:33:47.919,5.1497E-08
,,,2023-05-18 20:33:48.560,5.2557E-08
,,,2023-05-18 20:33:49.201,4.9136E-08
,,,2023-05-18 20:33:49.839,4.8666E-08
,,,2023-05-18 20:33:50.481,4.9553E-08
,,,2023-05-18 20:33:51.120,5.1458E-08
,,,2023-05-18 20:33:51.757,5.1114E-08
,,,2023-05-18 20:33:52.397,5.114E-08
,,,2023-05-18 20:33:53.035,4.9719E-08
,,,2023-05-18 20:33:53.678,4.9421E-08
,,,2023-05-18 20:33:54.314,5.1418E-08
,,,2023-05-18 20:33:54.954,4.6487E-08
,,,2023-05-18 20:33:55.593,5.1404E-08
,,,2023-05-18 20:33:56.230,4.9997E-08
,,,2023-05-18 20:33:56.872,5.0305E-08
,,,2023-05-18 20:33:57.510,4.9103E-08
,,,2023-05-18 20:33:58.148,4.7939E-08
,,,2023-05-18 20:33:58.779,5.0433E-08
,,,2023-05-18 20:33:59.417,4.9952E-08
,,,2023-05-18 20:34:00.054,4.7978E-08
,,,2023-05-18 20:34:00.692,4.8568E-08
,,,2023-05-18 20:34:01.327,4.8952E-08
,,,2023-05-18 20:34:01.960,5.0067E-08
,,,2023-05-18 20:34:02.600,4.916E-08
,,,2023-05-18 20:34:03.241,5.2604E-08
,,,2023-05-18 20:34:03.878,4.9568E-08
,,,2023-05-18 20:34:04.511,5.085E-08
,,,2023-05-18 20:34:05.150,5.0128E-08
,,,2023-05-18 20:34:05.791,5.0129E-08
,,,2023-05-18 20:34:06.428,5.1676E-08
,,,2023-05-18 20:34:07.064,5.041E-08
,,,2023-05-18 20:34:07.705,4.7119E-08
,,,2023-05-18 20:34:08.341,4.9548E-08
,,,2023-05-18 20:34:08.981,4.9869E-08
,,,2023-05-18 20:34:09.622,5.0521E-08
,,,2023-05-18 20:34:10.256,5.1031E-08
,,,2023-05-18 20:34:10.901,4.6889E-08
,,,2023-05-18 20:34:11.540,4.8721E-08
,,,2023-05-18 20:34:12.182,5.1976E-08
,,,2023-05-18 20:34:12.819,5.0522E-08
,,,2023-05-18 20:34:13.460,4.8702E-08
,,,2023-05-18 20:34:14.100,5.2039E-08
,,,2023-05-18 20:34:14.739,5.0692E-08
,,,2023-05-18 20:34:15.374,5.1389E-08
,,,2023-05-18 20:34:16.015,4.9193E-08
,,,2023-05-18 20:34:16.653,4.8885E-08
,,,2023-05-18 20:34:17.290,5.1635E-08
,,,2023-05-18 20:34:17.929,4.9819E-08
,,,2023-05-18 20:34:18.570,5.1649E-08
,,,2023-05-18 20:34:19.205,5.0942E-08
,,,2023-05-18 20:34:19.841,4.999E-08
,,,2023-05-18 20:34:20.483,4.9869E-08
,,,2023-05-18 20:34:21.122,4.834E-08
,,,2023-05-18 20:34:21.758,4.9183E-08
,,,2023-05-18 20:34:22.400,5.0666E-08
,,,2023-05-18 20:34:23.038,4.8736E-08
,,,2023-05-18 20:34:23.679,5.1674E-08
,,,2023-05-18 20:34:24.319,5.0131E-08
,,,2023-05-18 20:34:24.964,4.9565E-08
,,,2023-05-18 20:34:25.601,5.0323E-08
,,,2023-05-18 20:34:26.241,4.9596E-08
,,,2023-05-18 20:34:26.878,4.7308E-08
,,,2023-05-18 20:34:27.517,5.197E-08
,,,2023-05-18 20:34:28.158,4.9579E-08
,,,2023-05-18 20:34:28.789,4.9358E-08
,,,2023-05-18 20:34:29.427,4.8672E-08
,,,2023-05-18 20:34:30.064,4.8229E-08
,,,2023-05-18 20:34:30.702,5.0125E-08
,,,2023-05-18 20:34:31.351,5.1946E-08
,,,2023-05-18 20:34:31.989,5.1747E-08
,,,2023-05-18 20:34:32.634,5.1428E-08
,,,2023-05-18 20:34:33.275,5.0421E-08
,,,2023-05-18 20:34:33.911,4.9468E-08
,,,2023-05-18 20:34:34.545,5.0649E-08
,,,2023-05-18 20:34:35.174,4.9499E-08
